id,api_entity_with_single_des_id,qualified_name,single_description,final_annotation_type,core_verb
14510,36490,android.bluetooth.BluetoothGatt.disconnect(),"Disconnects an established connection, or cancels a connection attempt currently in progress.",0,disconnect
7458,33546,org.xml.sax.ContentHandler.endPrefixMapping(java.lang.String),End the scope of a prefix-URI mapping.,0,end
7459,58941,org.json.JSONStringer.endArray(),Ends encoding the current array.,0,end
7460,51023,android.util.JsonWriter.endArray(),Ends encoding the current array.,0,end
7461,34139,android.animation.ValueAnimator.end(),Ends the animation.,0,end
7462,5538,java.awt.im.InputContext.endComposition(),Ends any input composition that may currently be going on in this context.,0,end
7463,45221,android.net.sip.SipSession.endCall(),"Ends an established call, terminates an outgoing call or rejects an incoming call.",0,end
7465,50773,android.transition.TransitionManager.endTransitions(android.view.ViewGroup),Ends all pending and ongoing transitions on the specified scene root.,0,end
5677,41586,android.icu.text.MessagePattern.freeze(),"Freezes this object, making it immutable and thread-safe.",0,freeze
13176,41910,android.icu.text.TimeZoneFormat.freeze(),Freezes the object.,0,freeze
13397,42093,android.icu.util.Freezable.freeze(),Freezes the object.,0,freeze
13519,41331,android.icu.text.DateTimePatternGenerator.freeze(),Freezes the object.,0,freeze
12353,35879,"android.app.admin.DeviceAdminReceiver.onReceive(android.content.Context,android.content.Intent)",Intercept standard device administrator broadcasts.,0,intercept
13535,48306,"android.service.restrictions.RestrictionsReceiver.onReceive(android.content.Context,android.content.Intent)",Intercept standard Restrictions Provider broadcasts.,0,intercept
13410,8273,java.lang.ThreadGroup.interrupt(),Interrupts all threads in this thread group.,0,interrupt
13450,8242,java.lang.Thread.interrupt(),Interrupts this thread.,0,interrupt
3669,54118,android.webkit.WebView.pauseTimers(),"Pauses all layout, parsing, and JavaScript timers for all WebViews.",0,pause
12883,33969,android.animation.Animator.pause(),Pauses a running animation.,0,pause
13502,43977,android.media.SoundPool.pause(int),Pause a playback stream.,0,pause
13523,54108,android.webkit.WebView.onPause(),"Does a best-effort attempt to pause any processing that can be paused safely, such as animations and geolocation.",0,pause
13154,46140,android.os.HandlerThread.quit(),Quits the handler thread's looper.,0,quit
6785,9924,java.nio.channels.SocketChannel.shutdownOutput(),Shutdown the connection for writing without closing the channel.,0,shutdown
6819,9923,java.nio.channels.SocketChannel.shutdownInput(),Shutdown the connection for reading without closing the channel.,0,shutdown
13159,10365,java.rmi.activation.ActivationSystem.shutdown(),Shutdown the activation system.,0,shutdown
3609,3285,java.awt.EventQueue.pop(),Stops dispatching events using this EventQueue.,0,stop
3610,36357,android.appwidget.AppWidgetHost.stopListening(),Stop receiving onAppWidgetChanged calls for your AppWidgets.,0,stop
3611,46058,android.os.Debug.stopNativeTracing(),Stop qemu tracing.,0,stop
3612,46102,android.os.FileObserver.stopWatching(),Stop watching for events.,0,stop
3613,36352,android.appwidget.AppWidgetHost.deleteAppWidgetId(int),Stop listening to changes for this AppWidget.,0,stop
3614,39739,android.graphics.drawable.AnimatedVectorDrawable.stop(),Stops the drawable's animation.,0,stop
3615,22148,javax.sound.sampled.DataLine.stop(),Stops the line.,0,stop
3616,48471,android.speech.SpeechRecognizer.stopListening(),Stops listening for speech.,0,stop
3620,44400,android.media.session.MediaSessionManager.removeOnActiveSessionsChangedListener(android.media.session.MediaSessionManager.OnActiveSessionsChangedListener),Stop receiving active sessions updates on the specified listener.,0,stop
3621,19733,javax.management.monitor.GaugeMonitor.stop(),Stops the gauge monitor.,0,stop
3622,34675,android.app.AppOpsManager.stopWatchingMode(android.app.AppOpsManager.OnOpChangedListener),"Stop monitoring that was previously started with startWatchingMode(String, String, AppOpsManager.OnOpChangedListener).",0,stop
3623,40340,android.hardware.Camera.stopFaceDetection(),Stops the face detection.,0,stop
3626,26541,javax.swing.plaf.basic.BasicProgressBarUI.stopAnimationTimer(),Stops the animation thread.,0,stop
3627,36706,android.bluetooth.le.BluetoothLeScanner.stopScan(android.app.PendingIntent),Stops an ongoing Bluetooth LE scan started using a PendingIntent.,0,stop
3629,52498,android.view.View.stopNestedScroll(),Stop a nested scroll in progress.,0,stop
3630,40342,android.hardware.Camera.stopSmoothZoom(),Stops the smooth zoom.,0,stop
3631,35682,android.app.Service.stopSelfResult(int),Stop the service if the most recent time it was started was startId.,0,stop
3632,39752,android.graphics.drawable.AnimationDrawable.stop(),Stops the animation at the current frame.,0,stop
3633,19748,javax.management.monitor.Monitor.stop(),Stops the monitor.,0,stop
3634,43951,android.media.Ringtone.stop(),Stops a playing ringtone.,0,stop
3635,26818,"javax.swing.plaf.basic.BasicTreeUI.completeEditing(boolean,boolean,boolean)",Stops the editing session.,0,stop
3636,53022,android.view.WindowId.unregisterFocusObserver(android.view.WindowId.FocusObserver),Stop monitoring changes in the focus state of the window.,0,stop
3637,2615,java.applet.AudioClip.stop(),Stops playing this audio clip.,0,stop
3639,49032,android.telecom.RemoteConnection.stopDtmfTone(),Instructs this RemoteConnection to stop any dual-tone multi-frequency signaling (DTMF) tone currently playing.,0,stop
7623,43967,android.media.RingtoneManager.stopPreviousRingtone(),Stops playing the last Ringtone retrieved from this.,0,stop
7978,44345,android.media.session.MediaController.TransportControls.stop(),Request that the player stop its playback; it may clear its state in whatever way is appropriate.,0,stop
12216,43785,android.media.MediaRecorder.stop(),Stops recording.,0,stop
12512,48321,android.service.voice.AlwaysOnHotwordDetector.stopRecognition(),Stops recognition for the associated keyphrase.,0,stop
12531,21999,javax.sound.midi.Sequencer.stop(),"Stops recording, if active, and playback of the currently loaded sequence, if any.",0,stop
12851,31599,javax.xml.ws.Endpoint.stop(),Stops publishing this endpoint.,0,stop
14561,54763,android.widget.Chronometer.stop(),Stop counting up.,0,stop
14563,54151,android.webkit.WebView.stopLoading(),Stops the current load.,0,stop
14565,36590,android.bluetooth.BluetoothHeadset.stopVoiceRecognition(android.bluetooth.BluetoothDevice),"Stop Bluetooth Voice Recognition mode, and shut down the Bluetooth audio path.",0,stop
14566,25698,javax.swing.Timer.stop(),"Stops the Timer, causing it to stop sending action events to its listeners.",0,stop
14567,43169,android.media.AudioManager.stopBluetoothSco(),Stop bluetooth SCO audio connection.,0,stop
14568,43986,android.media.SoundPool.stop(int),Stop a playback stream.,0,stop
14569,26891,javax.swing.plaf.basic.BasicTreeUI.stopEditing(javax.swing.JTree),Stops the current editing session.,0,stop
6894,7197,java.io.PrintWriter.println(),Terminates the current line by writing the line separator string.,0,terminate
11600,34470,android.app.Activity.stopLocalVoiceInteraction(),Request to terminate the current voice interaction that was previously started using startLocalVoiceInteraction(Bundle).,0,terminate
12753,11492,java.sql.Connection.abort(java.util.concurrent.Executor),Terminates an open connection.,0,terminate
13589,48704,android.telecom.Call.stopRtt(),Terminate the RTT session on this call.,0,terminate
5185,50197,"android.text.TextUtils.dumpSpans(java.lang.CharSequence,android.util.Printer,java.lang.String)",Debugging tool to print the spans in a CharSequence.,1,\N
11770,38165,"android.content.res.Resources.Theme.dump(int,java.lang.String,java.lang.String)",Print contents of this theme out to the log.,1,\N
13088,31765,javax.xml.xpath.XPathException.printStackTrace(java.io.PrintStream),Print stacktrace to specified PrintStream.,1,\N
13412,31766,javax.xml.xpath.XPathException.printStackTrace(),Print stacktrace to System.err.,1,\N
10327,16985,"java.util.logging.Logger.entering(java.lang.String,java.lang.String,java.lang.Object[])","Log a method entry, with an array of parameters.",1,log
10328,17008,java.util.logging.Logger.info(java.util.function.Supplier<java.lang.String>),"Log a INFO message, which is only to be constructed if the logging level is such that the message will actually be logged.",1,log
10329,17021,"java.util.logging.Logger.logp(java.util.logging.Level,java.lang.String,java.lang.String,java.lang.String,java.lang.Throwable)","Log a message, specifying source class and method, with associated Throwable information.",1,log
10330,46484,android.os.StrictMode.VmPolicy.Builder.penaltyLog(),Log detected violations to the system log.,1,log
10331,58414,"java.util.logging.Logger.logrb(java.util.logging.Level,java.lang.String,java.lang.String,java.util.ResourceBundle,java.lang.String,java.lang.Object)","Log a message, specifying source class, method, and resource bundle, with an optional list of message parameters.",1,log
10332,16986,"java.util.logging.Logger.exiting(java.lang.String,java.lang.String)",Log a method return.,1,log
10334,17033,"java.util.logging.Logger.throwing(java.lang.String,java.lang.String,java.lang.Throwable)",Log throwing an exception.,1,log
10335,16990,java.util.logging.Logger.finer(java.lang.String),Log a FINER message.,1,log
10336,17013,"java.util.logging.Logger.log(java.util.logging.Level,java.lang.String,java.lang.Object)","Log a message, with one object parameter.",1,log
10337,16991,java.util.logging.Logger.finer(java.util.function.Supplier<java.lang.String>),"Log a FINER message, which is only to be constructed if the logging level is such that the message will actually be logged.",1,log
10338,16983,"java.util.logging.Logger.entering(java.lang.String,java.lang.String)",Log a method entry.,1,log
10339,16988,java.util.logging.Logger.fine(java.lang.String),Log a FINE message.,1,log
10341,17019,"java.util.logging.Logger.logp(java.util.logging.Level,java.lang.String,java.lang.String,java.lang.String,java.lang.Object)","Log a message, specifying source class and method, with a single object parameter to the log message.",1,log
10342,17022,"java.util.logging.Logger.logp(java.util.logging.Level,java.lang.String,java.lang.String,java.lang.Throwable,java.util.function.Supplier<java.lang.String>)","Log a lazily constructed message, specifying source class and method, with associated Throwable information.",1,log
10343,10454,java.rmi.server.RemoteServer.setLog(java.io.OutputStream),Log RMI calls to the output stream out.,1,log
10344,17015,"java.util.logging.Logger.log(java.util.logging.Level,java.lang.String,java.lang.Throwable)","Log a message, with associated Throwable information.",1,log
10345,16982,java.util.logging.Logger.config(java.util.function.Supplier<java.lang.String>),"Log a CONFIG message, which is only to be constructed if the logging level is such that the message will actually be logged.",1,log
10346,17014,"java.util.logging.Logger.log(java.util.logging.Level,java.lang.String,java.lang.Object[])","Log a message, with an array of object arguments.",1,log
10347,16993,java.util.logging.Logger.finest(java.util.function.Supplier<java.lang.String>),"Log a FINEST message, which is only to be constructed if the logging level is such that the message will actually be logged.",1,log
14394,17035,java.util.logging.Logger.warning(java.util.function.Supplier<java.lang.String>),"Log a WARNING message, which is only to be constructed if the logging level is such that the message will actually be logged.",1,log
12022,13357,java.time.chrono.ChronoLocalDateTime.toString(),Outputs this date-time as a String.,1,output
12270,13116,java.time.Year.toString(),Outputs this year as a String.,1,output
12683,13452,java.time.chrono.AbstractChronology.toString(),"Outputs this chronology as a String, using the chronology ID.",1,output
13315,13252,java.time.ZoneId.toString(),"Outputs this zone as a String, using the ID.",1,output
13551,13329,java.time.chrono.ChronoLocalDate.toString(),Outputs this date as a String.,1,output
5168,17909,"javax.annotation.processing.Messager.printMessage(javax.tools.Diagnostic.Kind,java.lang.CharSequence,javax.lang.model.element.Element,javax.lang.model.element.AnnotationMirror,javax.lang.model.element.AnnotationValue)",Prints a message of the specified kind at the location of the annotation value inside the annotation mirror of the annotated element.,1,print
5169,24968,"javax.swing.JTable.print(javax.swing.JTable.PrintMode,java.text.MessageFormat,java.text.MessageFormat,boolean,javax.print.attribute.PrintRequestAttributeSet,boolean)","Prints this table, as specified by the fully featured print method, with the default printer specified as the print service.",1,print
5170,31441,javax.xml.transform.TransformerException.printStackTrace(),Print the the trace of methods from where the error originated.,1,print
5173,30679,javax.xml.crypto.dsig.XMLSignatureException.printStackTrace(java.io.PrintStream),"Prints this XMLSignatureException, its backtrace and the cause's backtrace to the specified print stream.",1,print
5174,7199,java.io.PrintWriter.println(char),Prints a character and then terminates the line.,1,print
5175,7206,java.io.PrintWriter.println(java.lang.Object),Prints an Object and then terminates the line.,1,print
5177,7200,java.io.PrintWriter.println(int),Prints an integer and then terminates the line.,1,print
5178,4062,java.awt.ScrollPane.printComponents(java.awt.Graphics),Prints the component in this scroll pane.,1,print
5179,30402,javax.xml.bind.JAXBException.printStackTrace(java.io.PrintWriter),Prints this JAXBException and its stack trace (including the stack trace of the linkedException if it is non-null) to the PrintWriter.,1,print
5180,17906,"javax.annotation.processing.Messager.printMessage(javax.tools.Diagnostic.Kind,java.lang.CharSequence)",Prints a message of the specified kind.,1,print
5181,24969,"javax.swing.JTable.print(javax.swing.JTable.PrintMode,java.text.MessageFormat,java.text.MessageFormat,boolean,javax.print.attribute.PrintRequestAttributeSet,boolean,javax.print.PrintService)",Prints this JTable.,1,print
5182,38428,"android.database.DatabaseUtils.dumpCursor(android.database.Cursor,java.lang.StringBuilder)",Prints the contents of a Cursor to a StringBuilder.,1,print
5184,30680,javax.xml.crypto.dsig.XMLSignatureException.printStackTrace(java.io.PrintWriter),"Prints this XMLSignatureException, its backtrace and the cause's backtrace to the specified print writer.",1,print
5186,48339,"android.service.voice.VoiceInteractionService.dump(java.io.FileDescriptor,java.io.PrintWriter,java.lang.String)",Print the Service's state into the given stream.,1,print
5187,7168,java.io.PrintStream.println(long),Prints a long and then terminate the line.,1,print
5188,8297,java.lang.Throwable.printStackTrace(java.io.PrintWriter),Prints this throwable and its backtrace to the specified print writer.,1,print
5189,31443,javax.xml.transform.TransformerException.printStackTrace(java.io.PrintWriter),Print the the trace of methods from where the error originated.,1,print
5190,30559,javax.xml.crypto.KeySelectorException.printStackTrace(java.io.PrintWriter),"Prints this KeySelectorException, its backtrace and the cause's backtrace to the specified print writer.",1,print
5191,48417,"android.service.wallpaper.WallpaperService.dump(java.io.FileDescriptor,java.io.PrintWriter,java.lang.String)",Print the Service's state into the given stream.,1,print
5192,30676,javax.xml.crypto.dsig.TransformException.printStackTrace(java.io.PrintWriter),"Prints this TransformException, its backtrace and the cause's backtrace to the specified print writer.",1,print
5193,38424,android.database.DatabaseUtils.dumpCurrentRow(android.database.Cursor),Prints the contents of a Cursor's current row to System.out.,1,print
5194,30572,javax.xml.crypto.URIReferenceException.printStackTrace(java.io.PrintWriter),"Prints this URIReferenceException, its backtrace and the cause's backtrace to the specified print writer.",1,print
5195,30566,javax.xml.crypto.NoSuchMechanismException.printStackTrace(java.io.PrintStream),"Prints this NoSuchMechanismException, its backtrace and the cause's backtrace to the specified print stream.",1,print
5196,30674,javax.xml.crypto.dsig.TransformException.printStackTrace(),"Prints this TransformException, its backtrace and the cause's backtrace to the standard error stream.",1,print
5197,3063,"java.awt.Component.list(java.io.PrintWriter,int)","Prints out a list, starting at the specified indentation, to the specified print writer.",1,print
5198,38429,android.database.DatabaseUtils.dumpCursorToString(android.database.Cursor),Prints the contents of a Cursor to a String.,1,print
5199,37363,"android.content.CursorLoader.dump(java.lang.String,java.io.FileDescriptor,java.io.PrintWriter,java.lang.String)",Print the Loader's state into the given stream.,1,print
5200,3060,java.awt.Component.list(java.io.PrintStream),Prints a listing of this component to the specified output stream.,1,print
5201,3062,java.awt.Component.list(java.io.PrintWriter),Prints a listing to the specified print writer.,1,print
5202,37573,"android.content.Loader.dump(java.lang.String,java.io.FileDescriptor,java.io.PrintWriter,java.lang.String)",Print the Loader's state into the given stream.,1,print
5203,48186,"android.service.media.MediaBrowserService.dump(java.io.FileDescriptor,java.io.PrintWriter,java.lang.String)",Print the Service's state into the given stream.,1,print
5204,7165,java.io.PrintStream.println(boolean),Prints a boolean and then terminate the line.,1,print
5205,58633,javax.xml.datatype.DatatypeConfigurationException.printStackTrace(),Print the the trace of methods from where the error originated.,1,print
5206,30408,javax.xml.bind.TypeConstraintException.printStackTrace(),Prints this TypeConstraintException and its stack trace (including the stack trace of the linkedException if it is non-null) to System.err.,1,print
5207,58635,javax.xml.datatype.DatatypeConfigurationException.printStackTrace(java.io.PrintStream),Print the the trace of methods from where the error originated.,1,print
5208,7191,java.io.PrintWriter.print(double),Prints a double-precision floating-point number.,1,print
5209,7160,java.io.PrintStream.print(java.lang.String),Prints a string.,1,print
5210,8295,java.lang.Throwable.printStackTrace(),Prints this throwable and its backtrace to the standard error stream.,1,print
5211,47554,android.renderscript.RenderScript.contextDump(),Print the currently available debugging information about the state of the RS context to the log.,1,print
5212,36870,"android.content.AsyncTaskLoader.dump(java.lang.String,java.io.FileDescriptor,java.io.PrintWriter,java.lang.String)",Print the Loader's state into the given stream.,1,print
5213,7173,java.io.PrintStream.println(java.lang.Object),Prints an Object and then terminate the line.,1,print
8214,50251,android.text.format.Time.format(java.lang.String),Print the current value given the format string provided.,1,print
12096,23785,javax.swing.JComponent.printChildren(java.awt.Graphics),Prints this component's children.,1,print
12202,7155,java.io.PrintStream.print(int),Prints an integer.,1,print
12238,15078,java.util.Properties.list(java.io.PrintStream),Prints this property list out to the specified output stream.,1,print
12379,7161,java.io.PrintStream.print(java.lang.Object),Prints an object.,1,print
13261,8276,java.lang.ThreadGroup.list(),Prints information about this thread group to the standard output.,1,print
13343,52725,android.view.ViewGroup.debug(int),"Prints information about this view in the log output, with the tag VIEW_LOG_TAG.",1,print
13351,7153,java.io.PrintStream.print(boolean),Prints a boolean value.,1,print
13466,7194,java.io.PrintWriter.print(java.lang.Object),Prints an object.,1,print
14474,30675,javax.xml.crypto.dsig.TransformException.printStackTrace(java.io.PrintStream),"Prints this TransformException, its backtrace and the cause's backtrace to the specified print stream.",1,print
14475,3069,java.awt.Component.print(java.awt.Graphics),Prints this component.,1,print
14476,7202,java.io.PrintWriter.println(float),Prints a floating-point number and then terminates the line.,1,print
14477,3180,java.awt.Container.print(java.awt.Graphics),Prints the container.,1,print
14478,8229,java.lang.Thread.dumpStack(),Prints a stack trace of the current thread to the standard error stream.,1,print
14479,34781,"android.app.DialogFragment.dump(java.lang.String,java.io.FileDescriptor,java.io.PrintWriter,java.lang.String)",Print the Fragments's state into the given stream.,1,print
14480,10585,java.security.DigestOutputStream.toString(),Prints a string representation of this digest output stream and its associated message digest object.,1,print
14481,3059,java.awt.Component.list(),Prints a listing of this component to the standard system output stream System.out.,1,print
14482,10581,java.security.DigestInputStream.toString(),Prints a string representation of this digest input stream and its associated message digest object.,1,print
14483,30565,javax.xml.crypto.NoSuchMechanismException.printStackTrace(),"Prints this NoSuchMechanismException, its backtrace and the cause's backtrace to the standard error stream.",1,print
6253,6586,java.beans.XMLEncoder.writeExpression(java.beans.Expression),Records the Expression so that the Encoder will produce the actual output when the stream is flushed.,1,record
6254,6588,java.beans.XMLEncoder.writeStatement(java.beans.Statement),Records the Statement so that the Encoder will produce the actual output when the stream is flushed.,1,record
9948,46500,"android.os.TokenWatcher.acquire(android.os.IBinder,java.lang.String)",Record that this token has been acquired.,1,record
12510,50947,"android.util.EventLog.writeEvent(int,long)",Record an event log message.,1,record
12914,14985,java.util.LongSummaryStatistics.accept(int),Records a new int value into the summary information.,1,record
13486,50946,"android.util.EventLog.writeEvent(int,float)",Record an event log message.,1,record
13533,14708,java.util.DoubleSummaryStatistics.accept(double),Records another value into the summary information.,1,record
6837,51102,android.util.PrintWriterPrinter.println(java.lang.String),Write a line of text to the output.,1,write
6838,29503,javax.swing.text.html.HTMLWriter.endTag(javax.swing.text.Element),Writes out an end tag for the element.,1,write
6839,7076,java.io.ObjectOutputStream.writeFloat(float),Writes a 32 bit float.,1,write
6840,22124,"javax.sound.midi.spi.MidiFileWriter.write(javax.sound.midi.Sequence,int,java.io.File)",Writes a stream of bytes representing a MIDI file of the file type indicated to the external file provided.,1,write
6841,7133,"java.io.PipedOutputStream.write(byte[],int,int)",Writes len bytes from the specified byte array starting at offset off to this piped output stream.,1,write
6842,6829,java.io.ByteArrayOutputStream.writeTo(java.io.OutputStream),"Writes the complete contents of this byte array output stream to the specified output stream argument, as if by calling the output stream's write method using out.write(buf, 0, count).",1,write
6844,22864,javax.sql.rowset.serial.SQLOutputImpl.writeBytes(byte[]),Writes an array of bytes in the Java programming language to this SQLOutputImpl object.,1,write
6845,32071,org.omg.CORBA.FixedHolder._write(org.omg.CORBA.portable.OutputStream),Write the fixed point value stored in this holder to an OutputStream.,1,write
6846,17584,java.util.zip.InflaterOutputStream.close(),Writes any remaining uncompressed data to the output stream and closes the underlying output stream.,1,write
6847,46300,android.os.Parcel.writeStrongInterface(android.os.IInterface),"Write an object into the parcel at the current dataPosition(), growing dataCapacity() if needed.",1,write
6848,7176,"java.io.PrintStream.write(byte[],int,int)",Writes len bytes from the specified byte array starting at offset off to this stream.,1,write
6849,7273,java.io.RandomAccessFile.writeUTF(java.lang.String),Writes a string to the file using modified UTF-8 encoding in a machine-independent manner.,1,write
6850,9843,"java.nio.channels.FileChannel.write(java.nio.ByteBuffer[],int,int)",Writes a sequence of bytes to this channel from a subsequence of the given buffers.,1,write
6851,31193,javax.xml.stream.XMLStreamWriter.writeEntityRef(java.lang.String),Writes an entity reference,1,write
6852,43279,"android.media.AudioTrack.write(byte[],int,int)","Writes the audio data to the audio sink for playback (streaming mode), or copies audio data for later playback (static buffer mode).",1,write
6853,7320,"java.io.StringWriter.write(char[],int,int)",Write a portion of an array of characters.,1,write
6854,6764,java.io.DataOutput.writeLong(long),"Writes a long value, which is comprised of eight bytes, to the output stream.",1,write
6855,6430,java.beans.Encoder.writeObject(java.lang.Object),Write the specified object to the output stream.,1,write
6856,7069,java.io.ObjectOutputStream.writeByte(int),Writes an 8 bit byte.,1,write
6857,32415,"org.omg.CORBA.portable.OutputStream.write_ushort_array(short[],int,int)",Writes an array of unsigned shorts on this output stream.,1,write
6858,56556,"java.io.PrintWriter.format(java.util.Locale,java.lang.String,java.lang.Object)",Writes a formatted string to this writer using the specified format string and arguments.,1,write
6861,16940,java.util.jar.Manifest.write(java.io.OutputStream),Writes the Manifest to the specified OutputStream.,1,write
6862,18756,"javax.imageio.stream.ImageOutputStream.writeFloats(float[],int,int)",Writes a sequence of floats to the stream at the current position.,1,write
6863,7122,"java.io.OutputStreamWriter.write(java.lang.String,int,int)",Writes a portion of a string.,1,write
6865,41638,"android.icu.text.Normalizer2.normalize(java.lang.CharSequence,java.lang.StringBuilder)",Writes the normalized form of the source string to the destination string (replacing its contents) and returns the destination string.,1,write
6866,32402,"org.omg.CORBA.portable.OutputStream.write_longlong_array(long[],int,int)",Writes an array of CORBA longlongs (i.e.,1,write
6867,7212,java.io.PrintWriter.write(java.lang.String),Writes a string.,1,write
6868,18742,javax.imageio.stream.ImageOutputStream.write(int),Writes a single byte to the stream at the current position.,1,write
6869,7262,"java.io.RandomAccessFile.write(byte[],int,int)",Writes len bytes from the specified byte array starting at offset off to this file.,1,write
6870,46586,"android.os.health.TimerStat.writeToParcel(android.os.Parcel,int)",Write this TimerStat object to a parcel.,1,write
6872,40277,android.graphics.pdf.PdfDocument.writeTo(java.io.OutputStream),Writes the document to an output stream.,1,write
6873,32016,org.omg.CORBA.Any.write_value(org.omg.CORBA.portable.OutputStream),Writes out the value of this Any object to the given output stream.,1,write
6874,12059,java.sql.SQLOutput.writeLong(long),Writes the next attribute to the stream as a Java Long number.,1,write
6875,32413,"org.omg.CORBA.portable.OutputStream.write_ulonglong_array(long[],int,int)",Writes an array of unsigned CORBA longlongs (i.e.,1,write
6876,7071,java.io.ObjectOutputStream.writeChar(int),Writes a 16 bit char.,1,write
6877,18762,"javax.imageio.stream.ImageOutputStream.writeShorts(short[],int,int)",Writes a sequence of shorts to the stream at the current position.,1,write
6878,32401,org.omg.CORBA.portable.OutputStream.write_long(int),Writes a CORBA long,1,write
6879,46282,android.os.Parcel.writeFileDescriptor(java.io.FileDescriptor),"Write a FileDescriptor into the parcel at the current dataPosition(), growing dataCapacity() if needed.",1,write
6880,22789,"javax.sql.rowset.serial.SerialBlob.setBytes(long,byte[])","Writes the given array of bytes to the BLOB value that this Blob object represents, starting at position pos, and returns the number of bytes written.",1,write
6881,48743,"android.telecom.CallAudioState.writeToParcel(android.os.Parcel,int)",Writes AudioState object into a serializeable Parcel.,1,write
6882,59035,"org.xmlpull.v1.XmlSerializer.attribute(java.lang.String,java.lang.String,java.lang.String)",Write an attribute.,1,write
6883,31118,javax.xml.stream.XMLEventWriter.flush(),Writes any cached events to the underlying output mechanism,1,write
6884,31928,org.omg.CORBA.DataOutputStream.write_TypeCode(org.omg.CORBA.TypeCode),Writes the typecode to the output stream.,1,write
6885,18743,javax.imageio.stream.ImageOutputStream.write(byte[]),Writes a sequence of bytes to the stream at the current position.,1,write
6886,31200,javax.xml.stream.XMLStreamWriter.writeStartElement(java.lang.String),Writes a start tag to the output.,1,write
6887,31925,"org.omg.CORBA.DataOutputStream.write_short_array(short[],int,int)",Writes the array of IDL shorts from offset for length elements to the output stream.,1,write
6888,6587,java.beans.XMLEncoder.writeObject(java.lang.Object),Write an XML representation of the specified object to the output.,1,write
6889,9765,"java.nio.channels.AsynchronousFileChannel.write(java.nio.ByteBuffer,long,A,,? super A>)","Writes a sequence of bytes to this channel from the given buffer, starting at the given file position.",1,write
6890,38948,"android.graphics.Bitmap.writeToParcel(android.os.Parcel,int)",Write the bitmap and its pixels to the parcel.,1,write
6891,7143,"java.io.PipedWriter.write(char[],int,int)",Writes len characters from the specified character array starting at offset off to this piped output stream.,1,write
6892,6796,"java.io.BufferedOutputStream.write(byte[],int,int)",Writes len bytes from the specified byte array starting at offset off to this buffered output stream.,1,write
6893,6795,java.io.BufferedOutputStream.write(int),Writes the specified byte to this buffered output stream.,1,write
6895,12069,java.sql.SQLOutput.writeStruct(java.sql.Struct),Writes an SQL structured type value to the stream.,1,write
6896,7065,java.io.ObjectOutputStream.write(int),Writes a byte.,1,write
6897,31199,"javax.xml.stream.XMLStreamWriter.writeStartDocument(java.lang.String,java.lang.String)",Write the XML Declaration.,1,write
6898,31930,org.omg.CORBA.DataOutputStream.write_ulong(int),Writes the IDL unsigned long value (represented as a Java int) to the output stream.,1,write
6900,22858,javax.sql.rowset.serial.SQLOutputImpl.writeAsciiStream(java.io.InputStream),Writes a stream of ASCII characters to this SQLOutputImpl object.,1,write
6901,6957,java.io.FileOutputStream.write(byte[]),Writes b.length bytes from the specified byte array to this file output stream.,1,write
