sentence_id,doc_id,sentence_index,text,vote_type
72144,12096,1,This MouseEvent occurs when the mouse cursor exits the unobscured part of component's geometry.,2
11964,1127,0,Defines the standard socket options.,1
11965,1127,1,The name of each socket option defined by this class is its field name.,1
11966,1127,2,"In this release, the socket options defined here are used by network channels in the channels package.",1
30318,3360,0,A multiplexing UI used to combine PopupMenuUIs.,1
34133,4036,0,Deprecated.,1
72315,12173,0,For WINDOW_STATE_CHANGED events returns the previous state of the window.,1
34134,4036,1,org.omg.CORBA.DynamicImplementation,0
19995,1999,6,A caller should inspect the return value of JarEntry.getCodeSigners() to further determine if the signature can be trusted.,2
19994,1999,5,Please note that the verification process does not include validating the signer's certificate.,2
19993,1999,4,"If the verify flag is on when opening a signed jar file, the content of the file is verified against its signature embedded inside the file.",2
19992,1999,3,"Unless otherwise noted, passing a null argument to a constructor or method in this class will cause a NullPointerException to be thrown.",2
19989,1999,0,The JarFile class is used to read the contents of a jar file from any file that can be opened with java.io.RandomAccessFile.,1
691,47,40,The ZoneOffset is of the form '+01:00'.,1
203613,66736,0,Atomically decrements by one the current value of the field of the given object managed by this updater.,2
232400,80261,0,Returns the menu disabled foreground color of the current theme.,1
62228,8077,1,"For more information on Helper files, see ""Generated Files: Helper Files"".",0
62227,8077,0,The Helper for UnionMember.,1
62229,8077,2,"org/omg/CORBA/UnionMemberHelper.java Generated by the IDL-to-Java compiler (portable), version ""3.0"" from ir.idl 03 June 1999 11:33:43 o'clock GMT+00:00",0
49084,6130,12,"If the answer is NO, throw a NoSuchAlgorithmException exception.",2
49101,6133,0,This class defines the Service Provider Interface (SPI) for the ExemptionMechanism class.,1
49102,6133,1,All the abstract methods in this class must be implemented by each cryptographic service provider who wishes to supply the implementation of a particular exemption mechanism.,2
48149,6002,2,The Manifest can be used to store meta-information about the JAR file and its entries.,1
48148,6002,1,It extends the class java.util.zip.ZipInputStream with support for reading an optional Manifest entry.,1
48147,6002,0,The JarInputStream class is used to read the contents of a JAR file from any input stream.,1
232142,80084,0,Tells if a DropLocation should be indicated by a line between nodes.,1
232143,80084,1,This is meant for javax.swing.DropMode.INSERT and javax.swing.DropMode.ON_OR_INSERT drop modes.,1
100623,23035,0,Applies the given pattern string to this date format.,1
34239,4059,0,The Holder for OctetSeq.,1
34241,4059,2,"org/omg/CORBA/OctetSeqHolder.java Generated by the IDL-to-Java compiler (portable), version ""3.0"" from streams.idl 13 May 1999 22:41:36 o'clock GMT+00:00",0
232060,80020,0,"When editing, this will be the Component that is doing the actual editing.",2
81248,16116,0,"Constant for the ""Vedic Extensions"" Unicode character block.",1
427447,132188,2,"More formally, removes the first element e such that o.equals(e) (if such an element exists).",2
427448,132188,3,"Returns true if this deque contained the specified element (or equivalently, if this deque changed as a result of the call).",2
427445,132188,0,Removes the first occurrence of the specified element from this deque.,1
655,47,4,Each date time instance is composed of fields that are conveniently made available by the APIs.,0
651,47,0,"The main API for dates, times, instants, and durations.",1
652,47,1,"The classes defined here represent the principle date-time concepts, including instants, durations, dates, times, time-zones and periods.",1
227767,77788,0,Returns whether or not this location represents an insert of a row.,1
21804,2284,2,"Therefore, methods whose names begin with ""visit"" may be added to this class in the future; to avoid incompatibilities, classes which extend this class should not declare any instance methods with names beginning with ""visit"".",2
123492,31134,0,Visits a LONG primitive type by calling defaultAction.,1
34104,4028,4,The method get_values returns an NVList object containing the NamedValue objects that hold the value(s) identified by the given string.,2
224039,76006,1,Do not access directly or override.,2
72507,12274,0,Constructs a GlyphMetrics object.,1
21646,2249,7,"For example, if the underlying source of information is Java source code, then the elements will be returned in source code order.",2
427418,132180,0,"Retrieves and removes the head of the queue represented by this deque (in other words, the first element of this deque), or returns null if this deque is empty.",1
11843,1112,0,This class represents a Network Interface address.,1
11844,1112,1,"In short it's an IP address, a subnet mask and a broadcast address when the address is an IPv4 one.",1
34200,4051,0,The Helper for LongSeqHelper.,1
34202,4051,2,"org/omg/CORBA/LongSeqHelper.java Generated by the IDL-to-Java compiler (portable), version ""3.0"" from streams.idl 13 May 1999 22:41:36 o'clock GMT+00:00 The class definition has been modified to conform to the following OMG specifications : ORB core as defined by CORBA 2.3.1 (formal/99-10-07) IDL/Java Language Mapping as defined in ptc/00-01-08",0
70268,11134,0,Adds a PropertyChangeListener to the listener list for a specific property.,1
70270,11134,2,"If listener is null, no exception is thrown and no action is performed.",2
224040,76006,2,Use the accessor methods instead.,2
224076,76019,1,This method works only if the JComboBox uses a mutable data model.,2
224075,76019,0,Adds an item to the item list.,1
224078,76019,3,A workaround is to add new objects instead of String objects and make sure that the toString() method is defined.,2
224077,76019,2,Warning: Focus and keyboard navigation problems may arise if you add duplicate String objects.,2
123396,31068,0,Constructor for concrete subclasses; uses null for the default value.,1
224079,76019,4,"For example: comboBox.addItem(makeObj(""Item 1"")); comboBox.addItem(makeObj(""Item 1"")); ... private Object makeObj(final String item) { return new Object() { public String toString() { return item; } }; } .",0
232126,80073,0,Returns the path for passed in row.,1
427257,132136,0,Returns a Collection view of the values contained in this map.,1
232127,80073,1,If row is not visible null is returned.,2
1892,95,0,Provides classes for the secure socket package.,1
134873,36227,4,Methods such as execute and populate must be provided in any class that extends this class and implements one or more of the standard JSR-114 RowSet interfaces.,2
134875,36227,6,"After this method has been called, a call to the method getParams will return an object array of the current command parameters, which will include the Ref object set for placeholder parameter number parameterIndex.",2
134876,36227,7,"Note that because the numbering of elements in an array starts at zero, the array element that corresponds to placeholder parameter number parameterIndex is element number parameterIndex -1.",2
134869,36227,0,Sets the designated parameter to the given Ref object in the Java programming language.,1
134870,36227,1,The driver converts this to an SQL REF value when it sends it to the database.,2
134872,36227,3,The parameter value set by this method is stored internally and will be supplied as the appropriate parameter in this RowSet object's command when the method execute is called.,2
418448,130027,5,"Returns boolean true if the duration is estimated, false if accurate",2
4193,255,4,"In JAR files, all file names must be encoded in the UTF-8 encoding.",2
4194,255,5,Manifest and Signature Specification - The manifest format specification.,0
427260,132136,3,It does not support the add or addAll operations.,2
4189,255,0,"Provides classes for reading and writing the JAR (Java ARchive) file format, which is based on the standard ZIP file format with an optional manifest file.",1
4192,255,3,See java.util.zip package description.,0
418412,130023,12,"This provides equivalent, safe behavior for immutable and mutable implementations.",0
418413,130023,13,"Parameters temporal R: the temporal object to adjust, not null amount long: the amount of this unit to add, positive or negative Returns R the adjusted temporal object, not null",1
418410,130023,10,Implementations must not alter the specified temporal object.,2
81175,16046,0,"Constant for the ""Miscellaneous Technical"" Unicode character block.",1
228104,77959,0,Bound property name for rootVisible.,1
100645,23045,0,Sets the date and time format symbols of this date format.,1
70442,11193,2,when showing an owner of the window makes the window to be shown).,2
227833,77820,2,"If set to false, the lines will always be unwrapped.",2
227834,77820,3,"A PropertyChange event (""lineWrap"") is fired when the policy is changed.",2
227831,77820,0,Sets the line-wrapping policy of the text area.,1
227832,77820,1,If set to true the lines will be wrapped if they are too long to fit within the allocated width.,2
227835,77820,4,By default this property is false.,2
72423,12224,0,OS/2 and Windows specific metrics.,1
70085,11076,3,"If the default implementation of checkPrintJobAccess is used (that is, that method is not overriden), then this results in a call to the security manager's checkPermission method with a RuntimePermission(""queuePrintJob"") permission.",2
70084,11076,2,"If there is, the method should call the security manager's checkPrintJobAccess method to ensure initiation of a print operation is allowed.",2
232414,80268,0,Returns the primary control dark shadow color of the current theme.,1
70082,11076,0,Gets a PrintJob object which is the result of initiating a print operation on the toolkit's platform.,1
224149,76064,0,Removes the item at anIndex This method works only if the JComboBox uses a mutable data model.,2
34358,4088,0,The Helper for StringValue.,1
6602,426,4,"Client code should never create an AWTKeyStroke on its own, but should instead use a variant of getAWTKeyStroke.",2
11945,1126,6,"The format of the IPv6reference should follow that specified in RFC 2732: Format for Literal IPv6 Addresses in URLs: ipv6reference = ""["" IPv6address ""]"" .",2
6599,426,1,"AWTKeyStrokes can correspond to only a press or release of a particular key, just as KEY_PRESSED and KEY_RELEASED KeyEvents do; alternately, they can correspond to typing a specific Java character, just as KEY_TYPED KeyEvents do.",1
3237,185,0,"This package contains classes and exceptions from the DynAnyFactory interface of the DynamicAny module specified in the OMG The Common Object Request Broker: Architecture and Specification, http://cgi.omg.org/cgi-bin/doc?formal/99-10-07, section 9.2.2.",1
3238,185,1,Please refer to that OMG specification for further details.,0
3239,185,2,"Package Specification For a precise list of supported sections of official specifications with which the Java[tm] Platform, Standard Edition 6 ORB complies, see Official Specifications for CORBA support in Java SE 6.",0
62263,8088,2,"org/omg/CORBA/WCharSeqHolder.java Generated by the IDL-to-Java compiler (portable), version ""3.0"" from streams.idl 13 May 1999 22:41:36 o'clock GMT+00:00",0
62262,8088,1,"For more information on Holder files, see ""Generated Files: Holder Files"".",0
62261,8088,0,The Holder for WCharSeq.,1
2575,125,0,Provides one interface and many abstract classes that Swing uses to provide its pluggable look-and-feel capabilities.,1
134349,36117,0,"The InputStream object that will be returned by the method getAsciiStream, which is specified in the ResultSet interface.",2
3496,214,0,Provides interfaces that enable the development of input methods that can be used with any Java runtime environment.,1
3502,214,6,"The file should contain a list of fully-qualified class names, one per line, of classes implementing the java.awt.im.spi.InputMethodDescriptor interface.",2
1481,81,41,"MBean Server To be useful, an MBean must be registered in an MBean Server.",2
69990,11042,0,Creates this toolkit's implementation of Frame using the specified peer interface.,1
62238,8080,2,"org/omg/CORBA/UShortSeqHelper.java Generated by the IDL-to-Java compiler (portable), version ""3.0"" from streams.idl 13 May 1999 22:41:36 o'clock GMT+00:00 The class definition has been modified to conform to the following OMG specifications : ORB core as defined by CORBA 2.3.1 (formal/99-10-07) IDL/Java Language Mapping as defined in ptc/00-01-08",0
61876,8001,0,The Helper for CharSeq.,1
62236,8080,0,The Helper for UShortSeq.,1
134698,36195,0,Sets the designated parameter to the given Java float value.,1
134699,36195,1,The driver converts this to an SQL FLOAT value when it sends it to the database.,2
118,14,18,One notable feature of the persistence scheme is that reading in a bean requires no special knowledge of the bean.,0
119,14,19,"Writing out a bean, on the other hand, sometimes requires special knowledge of the bean's type.",0
110,14,10,"Unless explicitly stated, null values or empty Strings are not valid parameters for the methods in this package.",2
111,14,11,You may expect to see exceptions if these parameters are used.,2
115,14,15,"Note: The persistence scheme cannot automatically instantiate custom inner classes, such as you might use for event handlers.",2
116,14,16,"By using the EventHandler class instead of inner classes for custom event handlers, you can avoid this problem.",2
72244,12135,0,Marks the last integer id for the range of paint event ids.,1
21787,2282,1,"WARNING: The ElementVisitor interface implemented by this class may have methods added to it in the future to accommodate new, currently unknown, language structures added to future versions of the Java™ programming language.",2
10722,1011,0,Thrown by an implementation of ClassFileTransformer.transform when its input parameters are invalid.,1
21983,2300,0,A simple visitor of types with default behavior appropriate for the RELEASE_7 source version.,1
286083,96103,0,This method will be invoked when the dialog is dismissed.,2
123520,31149,0,Returns true if all of the fields have legal values given their names.,1
30334,3368,0,A multiplexing UI used to combine SplitPaneUIs.,1
123353,31034,0,Visits an ANNOTATION_TYPE type element by calling defaultAction.,1
62091,8042,0,Encapsulates a reason a Policy may be invalid.,0
303481,100023,0,This method was deprecated in API level 11.,2
21789,2282,3,"When such a new visit method is added, the default implementation in this class will be to call the visitUnknown method.",2
227938,77868,0,Fetches the model associated with the editor.,1
232245,80148,0,Returns a border instance for a JToggleButton,2
427381,132168,0,Returns an iterator over the elements in this deque in reverse sequential order.,1
427382,132168,1,The elements will be returned in order from last (tail) to first (head).,2
11396,1052,0,"Weak reference objects, which do not prevent their referents from being made finalizable, finalized, and then reclaimed.",1
427383,132168,2,The returned iterator is weakly consistent.,2
2565,123,0,Provides for events fired by Swing components.,1
2566,123,1,It contains event classes and corresponding event listener interfaces for events fired by Swing components in addition to those events in the java.awt.event package.,1
2568,123,3,"For details, see Threads and Swing, a section in The Java Tutorial.",0
2569,123,4,"Related Documentation For overviews, tutorials, examples, guides, and tool documentation, please see: Writing Event Listeners, a section in The Java Tutorial",0
134516,36158,0,"Sets the designated parameter to the given input stream, which will have the specified number of bytes.",1
224324,76142,0,"Stores the width/height of this component into ""return value"" rv and returns rv.",1
224325,76142,1,If rv is null a new Dimension object is allocated.,2
72077,12058,0,Constant for the Roman Characters function key.,1
227998,77900,0,Creates a new tool bar with the specified name.,1
22847,2381,17,All .jar files in archivelist must be stored in the directory specified by the code base URL.,2
62367,8121,1,"For example, the run time may have reached the maximum permissible number of open connections.",2
22845,2381,15,"If archivelist contains more than one file: Each file must be separated from the one that follows it by a comma (,).",2
22844,2381,14,One of the .jar files must contain the file specified by the CODE or OBJECT attribute.,2
22842,2381,12,Either CODE or OBJECT must be present.,2
134318,36099,0,"Creates a new CachedRowSet object containing the data in this JoinRowSet object, which can be saved to a data source using the SyncProvider object for the CachedRowSet object.",1
7786,556,0,"The DragSourceListener defines the event interface for originators of Drag and Drop operations to track the state of the user's gesture, and to provide appropriate ""drag over"" feedback to the user throughout the Drag and Drop operation.",1
7787,556,1,The drop site is associated with the previous dragEnter() invocation if the latest invocation of dragEnter() on this listener: corresponds to that drop site and is not followed by a dragExit() invocation on this listener.,2
228069,77941,0,Returns the name of the L&F class that renders this component.,1
134321,36099,3,An application should reset the SQL statement using the RowSet.setCommand method.,2
49044,6127,8,"When requesting such a mode, you may optionally specify the number of bits to be processed at a time by appending this number to the mode name as shown in the ""DES/CFB8/NoPadding"" and ""DES/OFB32/PKCS5Padding"" transformations.",2
134320,36099,2,The CachedRowSet instance returned should not contain modification data and it should clear all properties of it's originating SQL statement.,2
21749,2277,3,"When such a new visit method is added, the default implementation in this class will be to call the visitUnknown method.",2
63106,8352,9,"To avoid name collisions, the reverse DNS name convention should be used.",2
21748,2277,2,"Therefore, methods whose names begin with ""visit"" may be added to this class in the future; to avoid incompatibilities, classes which extend this class should not declare any instance methods with names beginning with ""visit"".",2
63098,8352,1,"Interceptors are intended to be a means by which ORB services gain access to ORB processing, effectively becoming part of the ORB.",1
63097,8352,0,Facilitates interceptor registration and ORB initialization.,1
63100,8352,3,Interceptors cannot be registered on an ORB after it has been returned by a call to ORB.init.,2
427263,132136,6,Returns Collection<V> the collection view,2
63103,8352,6,Registering ORB Initializers in Java ORBInitializers are registered via Java ORB properties.,2
6789,444,0,A class to encapsulate the bitmap representation of the mouse cursor.,1
72764,12412,0,Returns a hashcode for this ShapeGraphicAttribute.,1
232079,80036,0,Model maintaing the selection.,0
21752,2277,6,Note that adding a default implementation of a new visit method in a visitor class will occur instead of adding a default method directly in the visitor interface since a Java SE 8 language feature cannot be used to this version of the API since this version is required to be runnable on Java SE 7 implementations.,2
228090,77954,0,Bound property name for messagesStopCellEditing.,1
5772,353,9,What this means in practical terms is that an application that starts to use SAAJ APIs on a tree after manipulating it using DOM APIs must assume that the tree has been translated into an all SAAJ tree and that any references to objects within the tree that were obtained using DOM APIs are no longer valid.,2
72556,12301,0,Returns the metrics of the glyph at the specified index into this GlyphVector.,1
134751,36210,1,The driver converts this oa SQL NCLOB value when it sends it to the database.,2
21635,2246,0,Represents a package program element.,1
5763,353,0,Provides the API for creating and building SOAP messages.,1
70174,11102,5,"On such platforms, the dynamic resize property must be set at the operating system or window manager level before this method can take effect.",2
5767,353,4,"It is important to note that, while it is possible to use DOM APIs to add ordinary DOM nodes to a SAAJ tree, the SAAJ APIs are still required to return SAAJ types when examining or manipulating the tree.",2
232235,80141,0,Returns the system text font.,2
232236,80141,1,"This returns Dialog, 12pt, plain.",1
81328,16138,1,"The parameterTypes parameter is an array of Class objects that identify the constructor's formal parameter types, in declared order.",1
81327,16138,0,Returns a Constructor object that reflects the specified public constructor of the class represented by this Class object.,1
81330,16138,3,The constructor to reflect is the public constructor of the class represented by this Class object whose formal parameter types match those specified by parameterTypes.,2
81329,16138,2,"If this Class object represents an inner class declared in a non-static context, the formal parameter types include the explicit enclosing instance as the first parameter.",2
2573,124,3,Related Documentation This document forms the complete API specification.,0
2572,124,2,"For details, see Threads and Swing, a section in The Java Tutorial.",0
2570,124,0,Contains classes and interfaces used by the JFileChooser component.,1
2574,124,4,"For overviews, tutorials, examples, guides, and tool documentation, please see: How to Use File Choosers, a section in The Java Tutorial Internationalization Documentation Input Method Framework Documentation",0
427356,132160,4,The caller is thus free to modify the returned array.,2
427357,132160,5,This method acts as bridge between array-based and collection-based APIs.,2
427358,132160,6,Returns Object[] an array containing all of the elements in this collection,2
427352,132160,0,Returns an array containing all of the elements in this collection.,1
427353,132160,1,"If this collection makes any guarantees as to what order its elements are returned by its iterator, this method must return the elements in the same order.",2
427354,132160,2,"The returned array will be ""safe"" in that no references to it are maintained by this collection.",2
427355,132160,3,"(In other words, this method must allocate a new array even if this collection is backed by an array).",2
228015,77909,0,Returns the component at the specified index.,1
100715,23095,2,This method returns the time-zone used.,2
100713,23095,0,Gets the time-zone being used to create dates and times.,1
35530,4446,0,This policy specifies whether the created POA retains active servants in an Active Object Map.,1
13958,1432,13,"For example, a Permissions object might have a FilePermissionCollection for all the FilePermission objects, a SocketPermissionCollection for all the SocketPermission objects, and so on.",2
13957,1432,12,"That is, its members are each a homogeneous PermissionCollection.",2
13956,1432,11,"For example, Permissions is a PermissionCollection subclass that represents a collection of PermissionCollections.",2
13955,1432,10,A PermissionCollection may also be heterogeneous.,2
13962,1432,17,"For example, the Permissions object uses a default PermissionCollection implementation that stores the permission objects in a Hashtable.",2
13961,1432,16,"If newPermissionCollection returns null, the PermissionCollection is free to store the permission in any type of PermissionCollection it desires (one using a Hashtable, one using a Vector, etc.).",2
